"Movie_ID","Movie","Release_date","Distributor","MPAA_rating","Runtime","Production_budget","Genre1","Genre2","Genre3","imdb.com_rating","Country","Opening_revenues","Opening_screens","Opening_revenues_indexed","Opening_screens_indexed","Opening_revenues_indexed_transformed","Opening_screens_indexed_transformed"
207,"Iron Man 3","5/3/2013","BV","PG-13",129,200,"Action","Adventure","Sci-Fi",7.3,"Netherlands",1426835,113,0.588031051,0.446640316,0.355831774,-0.214254604
207,"Iron Man 3","5/3/2013","BV","PG-13",129,200,"Action","Adventure","Sci-Fi",7.3,"USA",174144585,4253,1,1,NA,NA
208,"Its Complicated;12/25/2009;Uni.;R;118;85;Comedy;Romance; ;6.6;UnitedKingdom;1760954;434;0.054503894;0.743150685;-2.853437617;1.06240924

208;Its Complicated","12/25/2009","Uni.","R",118,85,"Comedy","Romance"," ",6.6,"USA",22100820,2887,0.154725242,0.667514451,-1.698010822,0.696964641
209,"Jack and Jill","11/11/2011","Sony","PG",91,79,"Comedy"," "," ",3.4,"Netherlands",243373,61,0.063382198,0.256302521,-2.693092266,-1.065275868
209,"Jack and Jill","11/11/2011","Sony","PG",91,79,"Comedy"," "," ",3.4,"USA",25003575,3438,0.147784501,0.785828571,-1.752084292,1.299961904
210,"Jack Ryan: Shadow Recruit","1/17/2014","Par.","PG-13",100,60,"Action","Drama","Thriller",6.2,"Netherlands",424523,82,0.184221992,0.362831858,-1.488000762,-0.563094052
210,"Jack Ryan: Shadow Recruit","1/17/2014","Par.","PG-13",100,60,"Action","Drama","Thriller",6.2,"USA",15451981,3387,0.126761944,0.783302498,-1.929897339,1.285016571
211,"Jack the Giant Slayer","3/1/2013","WB (NL)","PG-13",114,195,"Adventure","Fantasy"," ",6.3,"Netherlands",345556,80,0.142411462,0.316205534,-1.795403941,-0.77126496
211,"Jack the Giant Slayer","3/1/2013","WB (NL)","PG-13",114,195,"Adventure","Fantasy"," ",6.3,"USA",27202226,3525,0.156204834,0.828826711,-1.686741586,1.577334667
212,"Jackass 3-D","10/15/2010","Par.","R",94,20,"Documentary","Action","Comedy",7.1,"Netherlands",904428,67,0.297204088,0.279166667,-0.860647474,-0.948598975
212,"Jackass 3-D","10/15/2010","Par.","R",94,20,"Documentary","Action","Comedy",7.1,"USA",50353641,3081,0.393011757,0.689570278,-0.434669894,0.798111078
213,"Jackass Presents: Bad Grandpa","10/25/2013","Par.","R",93,15,"Comedy"," "," ",6.6,"Netherlands",429742,63,0.177106421,0.249011858,-1.536076085,-1.103889346
213,"Jackass Presents: Bad Grandpa","10/25/2013","Par.","R",93,15,"Comedy"," "," ",6.6,"USA",32055177,3336,0.184072201,0.784387491,-1.488997794,1.291420291
214,"Jennifers Body;9/18/2009;Fox;R;102;16;Comedy;Horror; ;5;UnitedKingdom;1223257;314;0.037861449;0.537671233;-3.235225046;0.150971027

214;Jennifers Body","9/18/2009","Fox","R",102,16,"Comedy","Horror"," ",5,"USA",6868397,2702,0.04808484,0.624739884,-2.98550897,0.509715951
215,"Jersey Boys","6/20/2014","WB","R",134,40,"Biography","Drama","Music",6.9,"Netherlands",41571,31,0.018039759,0.137168142,-3.99697269,-1.839012354
215,"Jersey Boys","6/20/2014","WB","R",134,40,"Biography","Drama","Music",6.9,"USA",13319371,2905,0.109266854,0.671831637,-2.098251789,0.716480992
